ID,name,value,LowerTolerance,UpperTolerance
1,槽宽,0.3,-0.02,+0.02
2,槽宽,0.3,-0.02,+0.02
3,槽宽,0.3,-0.02,+0.02
4,槽宽,0.3,-0.02,+0.02
5,直径,0.7,-0.02,+0.02
6,直径,0.7,-0.02,+0.02
7,直径,10,-0.1,-0.02
8,直径,5,-0.12,0
9,半径,0.2,-0.1,+0.1
10,角度,120,,
11,角度,60,-1,+1
12,直径,6,0.001,0.009
13,角度,120,-1,+1
14,直径,5.4,,
15,直径,0.76,,
16,半径,0.25,-0.01,+0.01
17,角度,120,,
18,直径,0.76,-0.02,+0.02
19,直径,0.3,-0.02,+0.02
20,角度,90,-0.5,+0.5
21,角度,36,-0.5,+0.5
22,直径,0.85,,
23,直径,0.3,,
24,半径,0.2,-0.1,+0.1
25,角度,252,,
26,直径,3,0,0.014